datetime,open,high,low,close
2019-01-01 22:00:00,109.648,109.66799999999999,109.618,109.619
2019-01-01 22:20:00,109.618,109.666,109.60600000000001,109.661
2019-01-01 22:40:00,109.661,109.698,109.659,109.677
2019-01-01 23:00:00,109.676,109.726,109.653,109.708
2019-01-01 23:20:00,109.708,109.725,109.669,109.669
2019-01-01 23:40:00,109.669,109.704,109.646,109.67
2019-01-02 00:00:00,109.669,109.679,109.542,109.591
2019-01-02 00:20:00,109.592,109.637,109.563,109.629
2019-01-02 00:40:00,109.628,109.68,109.594,109.625
2019-01-02 01:00:00,109.625,109.671,109.582,109.648
2019-01-02 01:20:00,109.65,109.674,109.642,109.656
2019-01-02 01:40:00,109.656,109.667,109.587,109.597
2019-01-02 02:00:00,109.597,109.611,109.481,109.481
2019-01-02 02:20:00,109.48,109.484,109.336,109.345
2019-01-02 02:40:00,109.344,109.442,109.341,109.412
2019-01-02 03:00:00,109.411,109.419,109.356,109.392
2019-01-02 03:20:00,109.393,109.401,109.343,109.393
2019-01-02 03:40:00,109.395,109.426,109.377,109.42
2019-01-02 04:00:00,109.42,109.429,109.352,109.353
2019-01-02 04:20:00,109.353,109.382,109.342,109.363
2019-01-02 04:40:00,109.364,109.389,109.362,109.387
2019-01-02 05:00:00,109.387,109.409,109.368,109.39
2019-01-02 05:20:00,109.39,109.423,109.361,109.361
2019-01-02 05:40:00,109.36,109.374,109.297,109.303
2019-01-02 06:00:00,109.302,109.302,109.139,109.144
2019-01-02 06:20:00,109.143,109.185,109.126,109.159
2019-01-02 06:40:00,109.16,109.266,109.139,109.256
2019-01-02 07:00:00,109.256,109.278,109.188,109.206
2019-01-02 07:20:00,109.206,109.301,109.181,109.294
2019-01-02 07:40:00,109.293,109.346,109.274,109.308
2019-01-02 08:00:00,109.308,109.323,109.139,109.143
2019-01-02 08:20:00,109.143,109.149,108.99,109.021
2019-01-02 08:40:00,109.021,109.041,108.902,108.95
2019-01-02 09:00:00,108.949,108.972,108.707,108.752
2019-01-02 09:20:00,108.752,108.908,108.738,108.881
2019-01-02 09:40:00,108.882,108.977,108.863,108.941
2019-01-02 10:00:00,108.942,109.001,108.888,108.93
2019-01-02 10:20:00,108.931,108.941,108.879,108.921
2019-01-02 10:40:00,108.922,109.102,108.884,109.045
2019-01-02 11:00:00,109.045,109.171,109.043,109.167
2019-01-02 11:20:00,109.167,109.176,109.051,109.051
2019-01-02 11:40:00,109.05,109.119,109.045,109.107
2019-01-02 12:00:00,109.104,109.237,109.101,109.208
2019-01-02 12:20:00,109.207,109.285,109.17,109.172
2019-01-02 12:40:00,109.172,109.198,109.132,109.142
2019-01-02 13:00:00,109.141,109.166,108.987,109.02
2019-01-02 13:20:00,109.02,109.103,108.82,109.068
2019-01-02 13:40:00,109.068,109.194,109.015,109.188
2019-01-02 14:00:00,109.187,109.266,109.175,109.234
2019-01-02 14:20:00,109.234,109.326,109.212,109.235
2019-01-02 14:40:00,109.236,109.359,109.228,109.337
2019-01-02 15:00:00,109.337,109.38,109.266,109.341
2019-01-02 15:20:00,109.343,109.38,109.313,109.363
2019-01-02 15:40:00,109.365,109.392,109.266,109.283
2019-01-02 16:00:00,109.282,109.349,109.268,109.308
2019-01-02 16:20:00,109.306,109.307,109.265,109.294
2019-01-02 16:40:00,109.293,109.356,109.213,109.219
2019-01-02 17:00:00,109.22,109.317,109.219,109.257
2019-01-02 17:20:00,109.256,109.356,109.251,109.338
2019-01-02 17:40:00,109.338,109.464,109.326,109.442
2019-01-02 18:00:00,109.442,109.455,109.379,109.406
2019-01-02 18:20:00,109.406,109.452,109.39,109.427
2019-01-02 18:40:00,109.427,109.449,109.403,109.448
2019-01-02 19:00:00,109.449,109.449,109.349,109.371
2019-01-02 19:20:00,109.373,109.39,109.347,109.36
2019-01-02 19:40:00,109.36,109.361,109.181,109.196
2019-01-02 20:00:00,109.196,109.201,109.037,109.108
2019-01-02 20:20:00,109.108,109.149,109.092,109.092
2019-01-02 20:40:00,109.093,109.124,109.073,109.081
2019-01-02 21:00:00,109.082,109.121,109.079,109.108
2019-01-02 21:20:00,109.108,109.108,108.901,108.942
2019-01-02 21:40:00,108.941,108.986,108.867,108.874
2019-01-02 22:00:00,108.872,108.898,108.8,108.807
2019-01-02 22:20:00,108.807,108.808,104.736,105.103
2019-01-02 22:40:00,105.095,107.111,104.983,106.7
2019-01-02 23:00:00,106.7,107.425,106.498,107.162
2019-01-02 23:20:00,107.162,107.871,107.111,107.739
2019-01-02 23:40:00,107.741,107.746,107.338,107.427
2019-01-03 00:00:00,107.433,107.852,107.427,107.8
2019-01-03 00:20:00,107.8,107.854,107.486,107.6
2019-01-03 00:40:00,107.6,107.708,107.45,107.642
2019-01-03 01:00:00,107.643,107.802,107.637,107.644
2019-01-03 01:20:00,107.645,107.688,107.445,107.543
2019-01-03 01:40:00,107.545,107.568,107.431,107.535
2019-01-03 02:00:00,107.534,107.549,107.441,107.487
2019-01-03 02:20:00,107.488,107.509,107.078,107.078
2019-01-03 02:40:00,107.078,107.231,107.073,107.134
2019-01-03 03:00:00,107.134,107.195,107.022,107.071
2019-01-03 03:20:00,107.072,107.204,107.072,107.178
2019-01-03 03:40:00,107.179,107.197,107.126,107.156
2019-01-03 04:00:00,107.157,107.192,107.151,107.162
2019-01-03 04:20:00,107.162,107.226,107.152,107.203
2019-01-03 04:40:00,107.204,107.284,107.152,107.152
2019-01-03 05:00:00,107.153,107.161,106.913,106.992
2019-01-03 05:20:00,106.992,106.995,106.746,106.891
2019-01-03 05:40:00,106.89,106.978,106.829,106.967
2019-01-03 06:00:00,106.968,106.976,106.836,106.885
2019-01-03 06:20:00,106.883,106.905,106.797,106.845
2019-01-03 06:40:00,106.844,106.895,106.826,106.849
2019-01-03 07:00:00,106.849,107.208,106.849,107.144
2019-01-03 07:20:00,107.146,107.491,107.143,107.4
2019-01-03 07:40:00,107.401,107.672,107.401,107.551
2019-01-03 08:00:00,107.552,107.797,107.428,107.75
2019-01-03 08:20:00,107.75,107.958,107.692,107.816
2019-01-03 08:40:00,107.818,107.836,107.618,107.643
2019-01-03 09:00:00,107.644,107.846,107.644,107.796
2019-01-03 09:20:00,107.797,107.806,107.684,107.727
2019-01-03 09:40:00,107.727,107.756,107.657,107.657
2019-01-03 10:00:00,107.658,107.683,107.505,107.575
2019-01-03 10:20:00,107.578,107.598,107.527,107.582
2019-01-03 10:40:00,107.583,107.669,107.57,107.639
2019-01-03 11:00:00,107.639,107.679,107.596,107.614
2019-01-03 11:20:00,107.614,107.634,107.535,107.571
2019-01-03 11:40:00,107.571,107.583,107.513,107.549
2019-01-03 12:00:00,107.55,107.665,107.523,107.626
2019-01-03 12:20:00,107.627,107.657,107.585,107.649
2019-01-03 12:40:00,107.65,107.713,107.648,107.662
2019-01-03 13:00:00,107.66,107.999,107.594,107.962
2019-01-03 13:20:00,107.962,107.99,107.727,107.736
2019-01-03 13:40:00,107.737,107.779,107.696,107.747
2019-01-03 14:00:00,107.746,107.803,107.702,107.772
2019-01-03 14:20:00,107.773,107.966,107.754,107.809
2019-01-03 14:40:00,107.808,107.826,107.717,107.746
2019-01-03 15:00:00,107.746,107.746,107.104,107.465
2019-01-03 15:20:00,107.464,107.942,107.386,107.601
2019-01-03 15:40:00,107.601,107.763,107.525,107.541
2019-01-03 16:00:00,107.546,107.756,107.495,107.644
2019-01-03 16:20:00,107.645,107.846,107.572,107.84
2019-01-03 16:40:00,107.84,108.304,107.828,108.095
2019-01-03 17:00:00,108.091,108.109,107.892,107.94
2019-01-03 17:20:00,107.94,107.985,107.858,107.865
2019-01-03 17:40:00,107.864,108.066,107.825,108.024
2019-01-03 18:00:00,108.024,108.028,107.748,107.752
2019-01-03 18:20:00,107.751,107.906,107.742,107.859
2019-01-03 18:40:00,107.86,107.907,107.801,107.839
2019-01-03 19:00:00,107.838,107.857,107.8,107.838
2019-01-03 19:20:00,107.838,107.891,107.805,107.851
2019-01-03 19:40:00,107.851,107.88,107.724,107.733
2019-01-03 20:00:00,107.733,107.776,107.393,107.46
2019-01-03 20:20:00,107.459,107.65,107.438,107.538
2019-01-03 20:40:00,107.537,107.587,107.497,107.522
2019-01-03 21:00:00,107.521,107.596,107.484,107.503
2019-01-03 21:20:00,107.503,107.588,107.465,107.584
2019-01-03 21:40:00,107.583,107.673,107.572,107.646
2019-01-03 22:00:00,107.646,107.706,107.644,107.654
2019-01-03 22:20:00,107.658,107.678,107.631,107.636
2019-01-03 22:40:00,107.636,107.68,107.636,107.673
2019-01-03 23:00:00,107.672,107.969,107.641,107.89
2019-01-03 23:20:00,107.89,107.916,107.804,107.828
2019-01-03 23:40:00,107.829,107.902,107.806,107.849
2019-01-04 00:00:00,107.848,107.934,107.59,107.663
2019-01-04 00:20:00,107.662,107.82,107.654,107.792
2019-01-04 00:40:00,107.792,107.825,107.514,107.518
2019-01-04 01:00:00,107.518,107.674,107.518,107.619
2019-01-04 01:20:00,107.62,107.754,107.512,107.751
2019-01-04 01:40:00,107.751,107.949,107.718,107.84
2019-01-04 02:00:00,107.839,107.874,107.806,107.821
2019-01-04 02:20:00,107.819,108.09,107.805,107.982
2019-01-04 02:40:00,107.983,108.194,107.979,108.112
2019-01-04 03:00:00,108.111,108.269,108.11,108.265
2019-01-04 03:20:00,108.264,108.445,108.248,108.349
2019-01-04 03:40:00,108.349,108.353,108.242,108.329
2019-01-04 04:00:00,108.328,108.433,108.311,108.36
2019-01-04 04:20:00,108.36,108.407,108.327,108.386
2019-01-04 04:40:00,108.385,108.401,108.314,108.334
2019-01-04 05:00:00,108.335,108.376,108.321,108.345
2019-01-04 05:20:00,108.348,108.356,108.287,108.293
2019-01-04 05:40:00,108.293,108.293,108.21,108.252
2019-01-04 06:00:00,108.253,108.282,108.063,108.11
2019-01-04 06:20:00,108.11,108.161,108.101,108.13
2019-01-04 06:40:00,108.13,108.193,108.104,108.186
2019-01-04 07:00:00,108.185,108.231,108.121,108.143
2019-01-04 07:20:00,108.143,108.148,107.898,107.898
2019-01-04 07:40:00,107.897,107.967,107.821,107.851
2019-01-04 08:00:00,107.848,107.972,107.825,107.92
2019-01-04 08:20:00,107.92,107.971,107.897,107.945
2019-01-04 08:40:00,107.945,108.043,107.937,108.036
2019-01-04 09:00:00,108.035,108.035,107.865,107.887
2019-01-04 09:20:00,107.887,108.039,107.869,108.01
2019-01-04 09:40:00,108.01,108.038,107.966,108.031
2019-01-04 10:00:00,108.032,108.062,107.984,108.038
2019-01-04 10:20:00,108.041,108.047,107.928,107.978
