Symbol,Name,Last,Change,%Chg,"Options Vol.","% Call Options","% Put Options",Time
AMD,"Adv Micro Devices",30.15,0.26,+0.87%,651963,70.6%,29.4%,"11:36 ET"
AAPL,"Apple Inc",221.4,3.07,+1.41%,605111,54.4%,45.6%,"11:36 ET"
BABA,"Alibaba Group Holding Ltd",157.75,1.39,+0.89%,391647,63.3%,36.7%,"11:36 ET"
TSLA,"Tesla Inc",273.87,-11.63,-4.07%,277356,55.1%,44.9%,"11:36 ET"
CHK,"Chesapeake Energy Corp",4.02,-0.06,-1.47%,188634,92.9%,7.1%,"11:36 ET"
BAC,"Bank of America Corp",30.8,-0.02,-0.06%,176524,71.0%,29.0%,"11:36 ET"
SNAP,"Snap Inc",9.93,0.19,+1.95%,108385,60.4%,39.6%,"11:36 ET"
AMZN,"Amazon.Com Inc",1965.69,26.68,+1.38%,95170,61.6%,38.4%,"11:36 ET"
TWTR,"Twitter Inc",31.25,0.71,+2.32%,85687,60.0%,40.0%,"11:36 ET"
INTC,"Intel Corp",45.65,-0.65,-1.40%,85038,65.1%,34.9%,"11:36 ET"
T,"AT&T Inc",32.63,0.24,+0.74%,59543,72.1%,27.9%,"11:36 ET"
MU,"Micron Technology",43.03,-1.87,-4.16%,59414,65.1%,34.9%,"11:36 ET"
AR,"Antero Resources Corp",17.63,0.12,+0.69%,58348,99.8%,0.2%,"11:36 ET"
ORCL,"Oracle Corp",48.76,-0.1,-0.20%,54649,37.3%,62.7%,"11:36 ET"
NKE,"Nike Inc",82.88,0.78,+0.95%,50122,68.6%,31.4%,"11:36 ET"
SQ,Square,92.05,2.66,+2.98%,46254,61.2%,38.8%,"11:36 ET"
MRVL,"Marvell Tech Group",18.78,-0.25,-1.31%,45777,87.8%,12.2%,"11:36 ET"
TEVA,"Teva Pharmaceutical Industries Ltd",21.7,0.64,+3.04%,45128,43.5%,56.5%,"11:36 ET"
WMT,"Wal-Mart Stores",97.08,0.17999999999999,+0.19%,44896,80.0%,20.0%,"11:36 ET"
CBS,"CBS Corp",55.16,-0.040000000000006,-0.07%,44599,68.3%,31.7%,"11:36 ET"
AVGO,"Broadcom Ltd",232.58,-8.03,-3.34%,42363,70.7%,29.3%,"11:36 ET"
X,"United States Steel Corp",28.43,-0.49,-1.69%,36780,52.5%,47.5%,"11:35 ET"
FCX,"Freeport-Mcmoran Inc",12.93,-0.27,-2.05%,35863,57.6%,42.4%,"11:36 ET"
CRON,"Cronos Group Inc",12.02,-0.08,-0.66%,34465,61.7%,38.3%,"11:36 ET"
SLB,"Schlumberger N.V.",60.24,0.26000000000001,+0.43%,32711,51.3%,48.7%,"11:36 ET"
LOW,"Lowe's Companies",113.71,1.32,+1.17%,32016,65.0%,35.0%,"11:36 ET"
XOM,"Exxon Mobil Corp",82.69,0.98,+1.20%,29695,64.9%,35.1%,"11:36 ET"
AAL,"American Airlines Gp",39.86,0.43,+1.09%,29296,72.0%,28.0%,"11:36 ET"
BA,"Boeing Company",344.34,2.48,+0.73%,28538,51.9%,48.1%,"11:35 ET"
WYNN,"Wynn Resorts Ltd",131.37,-2.83,-2.11%,28356,70.6%,29.4%,"11:35 ET"
CSCO,"Cisco Systems Inc",46.84,-0.23,-0.49%,28251,55.0%,45.0%,"11:36 ET"
V,"Visa Inc",144.63,0.54999999999998,+0.38%,28137,53.1%,46.9%,"11:36 ET"
GOOGL,"Alphabet Class A",1182.56,7.5,+0.64%,27556,60.7%,39.3%,"11:36 ET"
TGT,"Target Corp",89.23,-0.030000000000001,-0.03%,27277,78.7%,21.3%,"11:35 ET"
FOXA,"21st Centry Fox Class A",44.78,-0.15,-0.33%,27119,20.7%,79.3%,"11:36 ET"
